id,category,priority,status,status_reason,platform,product_found,codename,submitted_date,title,hsd_link
14023199867,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,08/16/2024,"[Cluster][FLEX GNR_AP B3][RPP] Machine Check Bank 0 IFU DSB_DATA_PARITY running sandstone",https://hsdes.intel.com/appstore/article/#/14023199867
14022647725,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Beechnut City,GNR,06/20/2024,"[Cluster][FLEX GNR_SP B0][RPP] Kernel Panic IFU ifu_cr_mc0_status = 0xb200000000030005 during sandstone-rf-cold",https://hsdes.intel.com/appstore/article/#/14022647725
14022622041,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,06/16/2024,"[Cluster][FLEX GNR_AP B0][RPP] IFU ERROR ifu_cr_mc0_status = 0xb200004000000005 during sandstone-rf-warm / TSL",https://hsdes.intel.com/appstore/article/#/14022622041
14022609688,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,06/14/2024,"[Cluster][FLEX GNR_AP B0][RPP] S0 C121 T1 DSB_DATA_PARITY during sandstone-rf-warm",https://hsdes.intel.com/appstore/article/#/14022609688
15016230868,Confirmed Silicon,p3-medium,complete,complete.product_changed,Birch Stream Platform,Beechnut City,SRF,06/10/2024,"[Cluster][FLEX SRF C0][2S][RPP][Master] Node hang MCA from BUS ERROR (mcacod:0x4 FRC Error) during sandstone-rf-warm",https://hsdes.intel.com/appstore/article/#/15016230868
14022568396,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,06/10/2024,"[Cluster][FLEX GNR_AP B0][RPP] S0 C23 McBank 0x3 class CORRECTED during sandstone-rf-cold stress",https://hsdes.intel.com/appstore/article/#/14022568396
14022557380,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,06/07/2024,"[Cluster][FLEX GNR_AP B0][RPP] Machine Check Bank 1 DCU - 3X during sandstone-rf-cold",https://hsdes.intel.com/appstore/article/#/14022557380
16024409170,Confirmed Silicon,p2-high,complete,complete.product_changed,Kaseyville,GNR-D_RP_EXTERNAL,GNR,06/06/2024,"[KVL GNRD RP][Cluster] System reporting MCA error and not reachable while running sandstone - SBO_BL_DATA_PAR_ERR - IO/Compute",https://hsdes.intel.com/appstore/article/#/16024409170
14022478434,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,05/29/2024,"[Cluster][FLEX GNR_AP B0][RPP] Mc_Bank 9 and McBank 0x1 status 0xBD80000000100134 in IDLE and Sandstone tests",https://hsdes.intel.com/appstore/article/#/14022478434
15016126803,Confirmed Silicon,p2-high,complete,complete.product_changed,Birch Stream Platform,Customer.Dell.HS7720.SRF.SP,SRF,05/24/2024,"[BHS SRF-SP][QS][CoVal][DELL][HS7][HSIO] Observe MCERR in GPU pytorch + Xprod_Home_Grown_XORCYST concurrency workload",https://hsdes.intel.com/appstore/article/#/15016126803
14022326098,Confirmed Silicon,p4-low,complete,complete.product_changed,Birch Stream Platform,Avenue City,GNR,05/13/2024,"[Pre-Cluster][BHS][GNR][B0][RPP] MCA BANK 0x4 (Ubox) ba00000000000e0b",https://hsdes.intel.com/appstore/article/#/14022326098
14022317165,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Beechnut City,GNR,05/13/2024,"[Cluster][FLEX GNR_SP B0][RPP] S1 C64 McBank 0x0 class CORRECTED sandstone-rf-warm (sandstone stress)",https://hsdes.intel.com/appstore/article/#/14022317165
14022203993,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,05/02/2024,"[Cluster][FLEX GNR_AP A2][RPP] Machine Check Bank 0 IFU 0xB200000000030005 during TSL / Sandstone Cold",https://hsdes.intel.com/appstore/article/#/14022203993
14022203455,Confirmed Silicon,p4-low,complete,complete.product_changed,Birch Stream Platform,Avenue City,GNR,05/02/2024,"[Cluster][FLEX GNR_AP B0][RPP] IFU ERROR ifu_cr_mc0_status = 0xb200000000160005 during SandstoneCold/TSL",https://hsdes.intel.com/appstore/article/#/14022203455
14022166040,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,04/25/2024,"[Cluster][FLEX GNR AP B1][X3][SFT][RPP] Machine Check Bank 3 MLC Corrected Error Core 77 during Sandstone",https://hsdes.intel.com/appstore/article/#/14022166040
14022136699,Confirmed Silicon,p4-low,open,open.transferred,Birch Stream Platform,Avenue City,SRF,04/24/2024,"[Cluster][FLEX SRF_AP C0][RPP] Machine Check Bank 1 MLC class CORRECTED during sandstonecold",https://hsdes.intel.com/appstore/article/#/14022136699
22019909952,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,04/17/2024,"[Cluster][FLEX GNR_AP A2][RPP] Machine Check Bank 9 Last Level Cache Corrected Error during Mixer/Sandstone",https://hsdes.intel.com/appstore/article/#/22019909952
22019909855,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,04/17/2024,"[Cluster][FLEX GNR_AP A2][RPP] Machine Check Bank 9 Last Level Cache Corrected Error during Sandstone/IDLE",https://hsdes.intel.com/appstore/article/#/22019909855
22019909775,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Avenue City,GNR,04/17/2024,"[Cluster][FLEX GNR_AP A2][RPP] Machine Check Bank 9 Last Level Cache Corrected Error during Sandstone Cold",https://hsdes.intel.com/appstore/article/#/22019909775
15015875818,Confirmed Silicon,p4-low,complete,complete.product_changed,Birch Stream Platform,Beechnut City,SRF,04/16/2024,"[Cluster][FLEX SRF SP C0][RPP] Node hang MCA from BUS (mcacod:0x4 FRC Error) during sandstone-rf-warm-kthzs",https://hsdes.intel.com/appstore/article/#/15015875818
22019882449,Confirmed Silicon,p4-low,open,open.transferred,Birch Stream Platform,Avenue City,SRF,04/14/2024,"[Cluster][FLEX SRF_AP C0][RPP] LockStep mismatch Error Bank#0 FRC Error 0xb200000004010004 during sandstone-rf-cold",https://hsdes.intel.com/appstore/article/#/22019882449
