bug_id,sighting_id
14026093607,14026147117
22022227165,22022279145
14023561125,14023783615
14023442304,
15016230868,16024555549
14026464067,14026515562
14027938017,
15019383400,22022483185
15019358385,22022450920
16030286183,22022328988
16030256937,22022331478
16030227731,22022290275
15017489279,
14023559647,14023707310
14023476920,14023641543
14023385440,14023641266
15019382716,22022484440
15019357856,22022450926
15019342741,22022400542
16025306225,
14023210559,14023641177
14023204770,14023832628
14023199867,14023246018
14022647725,14023245910
14022622041,14022992653
14022609688,14022992468
14022568396,14022993410
14022557380,14022778671
16024409170,15016209323
16024409170,16025627513
14022478434,14022993275
15016126803,14022573510
14022326098,14023747160
14022317165,22020207681
14022203993,14022654832
14022203455,14022473340
14022166040,14022654893
14022136699,14022472788
22019909952,14020749554
22019909952,14022356497
22019909855,14022356369
22019909775,14022355754
15015875818,16024194295
22019882449,22020208111
14022090207,22019902393
14022065692,14022254044
14022041133,14022253920
14021910077,22019842095
14021816693,22019842029
14021803069,14021963445
14021749724,16023500602
14021733809,14021962914
14021716302,14021963578
14021713768,14022357127
14021676196,22019842142
22019405820,14021492397
22019405820,16023211377
14021318062,14021963659
14021313669,
14021017169,
16022337351,16022474859
22018873809,14020635671
15014273364,16022000061
14020056414,14020121468
14020049913,14020300521
14020047034,14020288052
16021442025,14020157863
14019907854,14020300791
14019781388,14020230869
14019781095,14019945638
14019778377,14019946130
16021155128,15014174837
14019696451,14020230962
14019324090,14019781314
14019309763,14020079014
14019168990,14019183733
14019137156,14019171192
14019137156,15013397254
14018729146,14018772684
14018614514,14018643030
14017887131,14017894308
22015416586,14017130518
14016590406,
14016417265,14016425646
14016376372,14016404363
14015961568,14015988419
16015535552,22014440283
14015800984,14015834143
14015797263,14015926573
14015703844,14015724435
22014056631,14015246479
14015357362,22014084431
14015266727,14015334707
14015263050,14015712651
14015196045,14015213437
14015143476,22013879933
14015110021,
14015032086,14015037382
14014839138,14014939964
14014613214,14014927973
14014504547,14014548497
14014278294,14014299198
22013149777,14014072017
14014090722,14014133338
22013017238,14014072017
22012774304,
22012724143,14014426996
14013789944,22012599236
14013775827,22012523370
22012280099,
22011493992,14013019466
14012462331,22011223740
14012394711,
22011336113,22011336176
14012180314,
1707238410,22010919712
22010707988,
14011439924,14011358274
14011352071,14011358274
14011350553,22010667653
22010039282,1707081011
